ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
1160,Balance in Systems of Finite Sets with Applications,balancing signed graphs ,['G'],finite sets,balancing signed graphs,finite sets balancing signed graphs
1161,Metric-Entropy Pairs on Lattices,"entropy,modular lattice,metric ",['H'],metric-entropy pairs,modular lattice,metric-entropy pairs modular lattice
1162,Connectivity and Reachability in Signed Networks,"graph theory,connectivity,geodesics ",['G'],signed networks,graph theory,signed networks graph theory
1163,Hamiltonicity of Topological Grid Graphs,"grid graph,topological grid graph,hamiltonian graph,shortness coefficient,3-connectedness",['G'],topological grid graphs,topological grid graph,topological grid graphs topological grid graph
1164,Hardware/Software Co-design and Verification Methodology from System Level Based on System Dependence Graph,"program slicing,hardware software co-design,hardware software coverification",['B' 'D'],system level based,hardware software co-design,system level based hardware software co-design
1165,Self-Evolving Petri Nets,"Petri Nets,reflection,software evolution",['D'],self-evolving petri nets,petri nets,self-evolving petri nets petri nets
1166,From Theoretical e-Barter Models to Two Alternative Implementations Based on Web Sevices,"formal methods,e-barter,web services",['D' 'F' 'K'],theoretical e-barter models,formal methods,theoretical e-barter models formal methods
1167,Integrating Module Checking and Deduction in a Formal Proof for the Perlman Spanning Tree Protocol (STP),"formal methods,network protocols,formal verification,Rebeca,modular verification",['C' 'D'],perlman spanning tree protocol,formal methods,perlman spanning tree protocol formal methods
1169,ODEDialect: a Set of Declarative Languages for Implementing Ontology Translation Systems,"ODEDialect,ontology language,translation",['I' 'M'],implementing ontology translation systems,ontology language,implementing ontology translation systems ontology language
1170,An Adaptable Framework for Ontology-based Content Creation on the Semantic Web,"semantic Web,ontologies,annotation,metadata,information extraction",['H'],ontology-based content creation,semantic web,ontology-based content creation semantic web
1171,On Ranking RDF Schema Elements (and its Application in Visualization),"schema ranking,schema visualization,semantic web",['H'],ranking rdf schema elements,schema ranking,ranking rdf schema elements schema ranking
1172,Discovering the Semantics of User Keywords,"querying the semantic Web,semantic interoperability,information retrieval",['H'],user keywords,semantic web,user keywords semantic web
1173,The SEWASIE Network of Mediator Agents for Semantic Search,"distributed databases,distributed applications,query language,internet,ontologies,mediator,knowledge management",['C' 'H' 'M'],sewasie network,distributed databases,sewasie network distributed databases
1174,An Ontology-based Approach to Support Text Mining and Information Retrieval in the Biological Domain,"semantic web,ontologies,semantic annotation,life science,NLP,Corese",['H' 'M'],support text mining,semantic web,support text mining semantic web
1176,The Trade-Offs of Blending Synchronous and Asynchronous Communication Services to Support Contextual Collaboration,"synchronous collaboration,asynchronous collaboration,CSCW,groupware,simulation,architecture,notification",['H' 'I'],asynchronous communication services,synchronous collaboration,asynchronous communication services synchronous collaboration
1177,Ontoolcole: Supporting Educators in the Semantic Search of CSCL Tools,"ontologies,semantic web services,service discovery,collaborative learning systems,CSCL tools",['H' 'I' 'K'],supporting educators,semantic web services,supporting educators semantic web services
1178,Seamless Transition between Connected and Disconnected Collaborative Interaction,"shared workspaces,collaborative working and learning,nomadic working and learning,interactive situation model",['H' 'J'],disconnected collaborative interaction,interactive situation model,disconnected collaborative interaction interactive situation model
1179,Integrating Service-Oriented Mobile Units to Support Collaboration in Ad-hoc Scenarios,"service-oriented mobile units,Web services platform,middleware for mobile groupware,ad-hoc col,laboration scenarios",['C' 'J'],integrating service-oriented mobile units,web services platform,integrating service-oriented mobile units web services platform
1180,"Using PDAs in Meetings: Patterns, Architecture and Components","electronic meetings,meeting patterns,upper-layer middleware",['H'],pdas,electronic meetings,pdas electronic meetings
1181,The Remote Control Approach - An Architecture for Adaptive Scripting across Collaborative Learning Environments,"collaboration scripts,integration architecture,learning design",['D' 'K' 'L'],remote control approach,collaboration scripts,remote control approach collaboration scripts
1183,Using an Evolving Thematic Clustering in a Text Segmentation Process,"text segmentation,clustering ",['I'],evolving thematic clustering,text segmentation,evolving thematic clustering text segmentation
1184,"Informatics for Historians: Tools for Medieval Document XML Markup, and their Impact on the History-Sciences","history-informatics,digitalization and preparation of medieval documents for the Semantic Web,XML tagging,tool-support",['H' 'I' 'J'],medieval document xml markup,medieval documents,medieval document xml markup medieval documents
1185,Metaclasses and Zoning Mechanism Applied to Handwriting Recognition,"character recognition,zoning mechanism,feature measurement,metaclasses,confusion matrix",['I'],zoning mechanism applied,character recognition,zoning mechanism applied character recognition
1186,Combining Classifiers in the ROC-space for Off-line Signature Verification,"signature verification,pattern recognition",['H'],off-line signature verification,signature verification,off-line signature verification signature verification
1187,Table-form Extraction with Artefact Removal,"table-form recognition,table-form extraction,handwritten da,ta,document segmentation",['I'],table-form extraction,table-form recognition,table-form extraction table-form recognition
1188,Detailing a Quantitative Method for Assessing Algorithms to Remove Back-to-Front Interference in Documents,"document engineering,back-to-front interference,show-through,bleeding",['H'],remove back-to-front interference,document engineering,remove back-to-front interference document engineering
1189,A Methodology for the Separation of Foreground/Background in Arabic Historical Manuscripts using Hybrid Methods,"segmentation,restoration,light intensity normalisation,k-means,maximum likelihood,foreground/background,,Arabic historical color manuscript image",['I'],arabic historical manuscripts,arabic historical color manuscript image,arabic historical manuscripts arabic historical color manuscript image
1190,A New and Efficient Algorithm to Binarize Document Images Removing Back-to-Front Interference,"document engineering,back-to-front interference,show through,bleeding",['H'],binarize document images removing back-to-front interference,document engineering,binarize document images removing back-to-front interference document engineering
1191,A Progressive Learning Method for Symbol Recognition,"conditional discriminant analysis,symbol recognition",['I'],progressive learning method,conditional discriminant analysis,progressive learning method conditional discriminant analysis
1193,Optimistic Fair Exchange in a Multi-user Setting,"security protocol,fair exchange,public key cryptography",['C' 'H'],optimistic fair exchange,public key cryptography,optimistic fair exchange public key cryptography
1194,New Results on NMAC/HMAC when Instantiated with Popular Hash Functions,"cryptography,security,authentication",['C' 'D' 'E' 'K'],popular hash functions,cryptography,popular hash functions cryptography
1195,Parallel Key Exchange,"key exchange,key graph,security notions,randomness re-use",['C' 'E'],parallel key exchange,key exchange,parallel key exchange key exchange
1196,Efficient k-out-of-n Oblivious Transfer Schemes,"oblivious transfer,privacy protection,electronic commerce",['D' 'E' 'K'],oblivious transfer schemes,oblivious transfer,oblivious transfer schemes oblivious transfer
1197,Bilateral Unknown Key-Share Attacks in Key Agreement Protocols,"authenticated key agreement,unknown key-share resilience,bilateral unknown key-share resilience,the Bellare-Rogaway model",['E' 'H'],bilateral unknown key-share attacks,bilateral unknown key-share resilience,bilateral unknown key-share attacks bilateral unknown key-share resilience
1198,Formal Security Definition and Efficient Construction for Roaming with a Privacy-Preserving Extension,"authenticated key exchange,anonymous roaming",['C' 'H'],formal security definition,authenticated key exchange,formal security definition authenticated key exchange
1199,Certificateless Public Key Encryption Secure against Malicious KGC Attacks in the Standard Model,"certificateless encryption,malicious KGC attack,standard model",['E'],certificateless public key encryption secure,malicious kgc attack,certificateless public key encryption secure malicious kgc attack
1200,Parallel Formulations of Scalar Multiplication on Koblitz Curves,"elliptic curve cryptography,Koblitz curves,finite field arithmetic,fast cryptographic algorithms",['B' 'E'],parallel formulations,elliptic curve cryptography,parallel formulations elliptic curve cryptography
1202,Analyzing Wiki-based Networks to Improve Knowledge Processes in Organizations,"social software,wiki,knowledge work,network analysis,collaboration network",['A' 'H' 'J' 'K' 'M'],analyzing wiki-based networks,social software,analyzing wiki-based networks social software
1203,A Linear Time Approximation Algorithm for Ruler Folding Problem,"Ruler Folding Problem,Carpenter's Ruler,approximation algorithms",['F' 'G'],linear time approximation algorithm,ruler folding problem,linear time approximation algorithm ruler folding problem
1206,Success Factors in a Weblog Community,"user generated content,weblog analysis,e-communities,blogging",['H' 'M'],success factors,user generated content,success factors user generated content
1207,Compensation Models for Interactive Advertising,"interactive advertising,compensation model,classification",['H' 'M'],compensation models,interactive advertising,compensation models interactive advertising
1208,Spatial Queries in Road Networks Based on PINE,"nearest neighbor,continuous nearest neighbor,road network,Voronoi,PINE",['E' 'H'],road networks based,continuous nearest neighbor,road networks based continuous nearest neighbor
1210,Passive Estimation of Quality of Experience,"quality of experience,passive performance measurements,internet performance,end-to-end performance,user behaviour,traffic analysis",['C'],passive estimation,passive performance measurements,passive estimation passive performance measurements
1211,Trading Links and Paths on a Communication Bandwidth Market,"bandwidth market,resource allocation,network design",['C' 'K'],communication bandwidth market,bandwidth market,communication bandwidth market bandwidth market
1212,Cost Model for Bitstream Access Services with QoS Parameters,"cost model,TELRIC,quality of service,bitstream access service,over-engineering,priority queuing",['C'],bitstream access services,bitstream access service,bitstream access services bitstream access service
1213,Enhancing ZRTP by using Computational Puzzles,"VoIP,SRTP,ZRTP,computational puzzle,challenge-response,eigenvectors,call delay",['C' 'K'],enhancing zrtp,computational puzzle,enhancing zrtp computational puzzle
1214,Drives and Barriers for Development of Broadband Access - CE Perspective,"broadband access,digital divide,e-services,ICT,Web-based multimedia services",['C' 'H' 'J' 'K'],broadband access,web-based multimedia services,broadband access web-based multimedia services
1215,Optimal Transit Price Negotiation: The Distributed Learning Perspective,"interdomain prices,games with incomplete information,learning,stability",['C' 'G' 'I'],optimal transit price negotiation,interdomain prices,optimal transit price negotiation interdomain prices
1216,"Dynamic Bandwidth Pricing: Provision Cost, Market Size, Effective Bandwidths and Price Games","network economics,contracts,pricing,bandwidth on demand,effective bandwidths,statistical multiplexing,reaction curves,competition,provision cost",['C' 'G' 'J'],dynamic bandwidth pricing,network economics,dynamic bandwidth pricing network economics
1217,A Normal Copula Model for the Economic Risk Analysis of Correlated Failures in Communications Networks,"reliability,communications networks,risk analysis",['C'],normal copula model,communications networks,normal copula model communications networks
1218,Security and Usability Aspects of Man-in-the-Middle Attacks on ZRTP,"ZRTP,Man-in-the-Middle-Attack,security",['K'],usability aspects,zrtp,usability aspects zrtp
1219,Quality of Experience in Communications Ecosystem,"quality of experience,quality of service,happiness,business objective,holistic,modelling,ecosystem,analysis",['H'],communications ecosystem,business objective,communications ecosystem business objective
1221,Approximation to a Behavioral Model for Estimating Traffic Aggregation Scenarios,"network planning,traffic modeling,network scenario",['C'],estimating traffic aggregation scenarios,network planning,estimating traffic aggregation scenarios network planning
1224,Computable Riesz Representation for Locally Compact Hausdorff Spaces,"computable analysis,computable topology,Hausdorff spaces,Riesz representation theorem",['F'],locally compact hausdorff spaces,riesz representation theorem,locally compact hausdorff spaces riesz representation theorem
1225,The Computable Multi-Functions on Multi-represented Sets are Closed under Programming,"computable analysis,multi-functions,multi-representations,realization,flowcharts,-abstraction",['F'],computable multi-functions,computable analysis,computable multi-functions computable analysis
1226,On the Subrecursive Computability of Several Famous Constants," computable real number,Grzegorczyk classes,second Grzegorczyk class,lower elementary functions,Liouville's number,Euler's constant",['F' 'G'],subrecursive computability,lower elementary functions,subrecursive computability lower elementary functions
1227,Computability of Topological Pressure for Sofic Shifts with Applications in Statistical Physics,"hift dynamical systems,topological pressure,Type-2 computability,statistical physics",['F' 'G' 'J'],topological pressure,hift dynamical systems,topological pressure hift dynamical systems
1228,Bloch's Constant is Computable,"computability,algorithm,Bloch's constant",['F'],bloch,computability,bloch computability
1229,The Riemann Integral in Weak Systems of Analysis,"weak analysis,Riemann integral,counting hierarchy",['F'],riemann integral,weak analysis,riemann integral weak analysis
1230,The Bit-Complexity of Finding Nearly Optimal Quadrature Rules for Weighted Integration,"real computational complexity,quadrature rules",['F' 'G'],optimal quadrature rules,real computational complexity,optimal quadrature rules real computational complexity
1231,Notions of Probabilistic Computability on Represented Spaces,"computable analysis,computable measures,probabilistic computation ",['F'],probabilistic computability,computable analysis,probabilistic computability computable analysis
1232,On the Relationship between Filter Spaces and Weak Limit Spaces,"convenient categories,higher type computation,QCB-spaces,topological spaces,filter spaces,weak limit spaces,equilogical spaces",['F' 'G'],weak limit spaces,higher type computation,weak limit spaces higher type computation
1233,A Direct Proof of the Equivalence between Brouwer's Fan Theorem and K&#246;nig's Lemma with a Uniqueness Hypothesis,"Brouwer's fan theorem,K&#246;nig's lemma",['F'],direct proof,fan theorem,direct proof fan theorem
1234,Multiple Explanations Driven Na&#239;ve Bayes Classifier,"case-based reasoning,data mining,explanation patterns,Na&#239;ve Bayes,text classification",['I'],multiple explanations driven na&#239,case-based reasoning,multiple explanations driven na&#239 case-based reasoning
1235,The mobiDI&#193;K Educational Portal,"web development,portal engine,server-side Java technology",['H'],educational portal,server-side java technology,educational portal server-side java technology
1236,A Framework for the Conceptualization of Approaches to Create-by-Reuse of Learning Design Solutions,"reusable units of learning,educational modelling languages,learning design processes,interoperability,conceptual framework",['D' 'H' 'K'],learning design solutions,educational modelling languages,learning design solutions educational modelling languages
1237,Publication Bias in the Computer Science Education Research Literature,"publication bias,computer science education,statistical reporting,gender",['K'],computer science education research literature,computer science education,computer science education research literature computer science education
1238,Formalizing Agent-Based English Auctions Using Finite State Process Algebra,"multi-agent system,formal specification,process algebra,English auction",['I' 'K'],formalizing agent-based english auctions,multi-agent system,formalizing agent-based english auctions multi-agent system
1239,Ranking Retrieval Systems with Partial Relevance Judgements,"distributed information retrieval,ranking retrieval systems",['H'],ranking retrieval systems,distributed information retrieval,ranking retrieval systems distributed information retrieval
1240,An Improved Multi-Agent Simulation Methodology for Modelling and Evaluating Wireless Communication Systems Resource Allocation Algorithms,"simulation methodology,multi-agent systems,agent negotiation strategies,wireless communication systems,resource allocation,dynamic channel allocation algorithms",['C' 'I'],evaluating wireless communication systems resource allocation algorithms,dynamic channel allocation algorithms,evaluating wireless communication systems resource allocation algorithms dynamic channel allocation algorithms
1241,An Agent-Based Solution for Dynamic Supply Chain Management,"supply chain management,electronic markets,software agents,trading agents,multi-agent simulation",['I' 'J' 'K'],dynamic supply chain management,supply chain management,dynamic supply chain management supply chain management
1242,A Knowledge Discovery Agent for a Topology Bit-map in Ad Hoc Mobile Networks,"knowledge discovery agent,ad hoc networks,AODV,table-driven routing,bit-map table,reducing overhead",['C'],ad hoc mobile networks,knowledge discovery agent,ad hoc mobile networks knowledge discovery agent
1243,Structural Performance Evaluation of Multi-Agent Systems,"metric,multi-agent system,performance evaluation",['C' 'H'],structural performance evaluation,multi-agent system,structural performance evaluation multi-agent system
1244,Query Transformation Based on Semantic Centrality in Semantic Social Network1,"semantic social network,ontology alignment,query propagation",['H' 'I'],query transformation based,semantic social network,query transformation based semantic social network
1245,Schema Mappings and Agents' Actions in P2P Data Integration System,"agent system,data integration,Prolog-like computations",['H' 'I'],p2p data integration system,agent system,p2p data integration system agent system
1247,Reinforcement Learning on a Futures Market Simulator,"reinforcement learning,market simulation",['I'],futures market simulator,reinforcement learning,futures market simulator reinforcement learning
1248,Model Interpreter Frameworks:A Foundation for the Analysis of Domain-Specific Software Architectures,"software architecture,model-driven engineering,component-based systems",['D'],model interpreter frameworks,software architecture,model interpreter frameworks software architecture
1249,Embedded Software Revitalization through Component Mining and Software Product Line Techniques,"maintenance,reuse,component mining,gateway,feature model,software product line,hardware decomposition,embedded system",['D'],software product line techniques,software product line,software product line techniques software product line
1250,Experimenting the Automated Selection of COTS Components Based on Cost and System Requirements,"COTS selection,optimization model,software requirements",['D'],cots components based,cots selection,cots components based cots selection
1251,LIFT - A Legacy InFormation Retrieval Tool,"reverse engineering,knowledge reuse,system understanding,legacy systems",['D' 'K'],legacy information retrieval tool,reverse engineering,legacy information retrieval tool reverse engineering
1252,Mismatch Avoidance in Web Services Software Architectures,"software architecture,architectural style,architectural mismatch,acme,web services",['D'],web services software architectures,software architecture,web services software architectures software architecture
1253,CrossMDA: a Model-driven Approach for Aspect Management,"model driven architecture,aspect oriented software development,crosscutting concerns,MDA transformations",['D' 'H'],model-driven approach,aspect oriented software development,model-driven approach aspect oriented software development
1254,A Product Derivation Tool Based on Model-Driven Techniques and Annotations,"software product lines,product derivation tools,generative programming,model-driven development",['D'],product derivation tool based,software product lines,product derivation tool based software product lines
1255,A Service-oriented Process to Develop Web Applications,"Web applications,Web-based services,product line,business process",['D'],develop web applications,web applications,develop web applications web applications
1263,On Complements of Sets and the Efremovi&#269; Condition in Pre-apartness Spaces,"Pre-apartness spaces,Efremovi&#269; property",['F'],pre-apartness spaces,pre-apartness spaces,pre-apartness spaces pre-apartness spaces
1265,Binary Methods Programming: the Clos Perspective,"binary methods,Common Lisp,object orientation,meta-programming",['D'],binary methods programming,binary methods,binary methods programming binary methods
1266,Custom Specializers in Object-Oriented Lisp,"Specializer,generic function,Metaobject Protocol,Lisp",['D'],custom specializers,generic function,custom specializers generic function
1267,An Implementation of CLIM Presentation Types,"Common Lisp,CLIM,presentation types,metaobject protocol",['D'],clim presentation types,common lisp,clim presentation types common lisp
1268,Context-Oriented Programming with the Ambient Object System,"context-oriented programming,subjective dispatch,multiple dispatch,prototype-based programming,ambient intelligence",['D'],ambient object system,context-oriented programming,ambient object system context-oriented programming
1269,UCL-GLORP - An ORM for Common Lisp,"object-relational mapping,Common Lisp,Smalltalk",['D' 'H'],common lisp,object-relational mapping,common lisp object-relational mapping
1270,A Tool for Reasoning about Qualitative Temporal Information: the Theory of S-languages with a Lisp Implementation,"temporal reasoning,relation algebras,S-languages,Lisp",['F' 'I'],qualitative temporal information,temporal reasoning,qualitative temporal information temporal reasoning
1272,NASDAQ Velocity and Forces: An Interactive Visualization of Activity and Change,"stock market visualization,stock market data analysis,NASDAQ velocity and forces,graphical user interface,information visualization",['J'],nasdaq velocity,stock market data analysis,nasdaq velocity stock market data analysis
1273,Supporting Informal Collaboration in Shared-Workspace Groupware,"awareness,community-based groupware,real-time interaction,groupware",['H'],supporting informal collaboration,real-time interaction,supporting informal collaboration real-time interaction
1274,CIAM: A Methodology for the Development of Groupware User Interfaces,"groupware design,interaction design,model based design",['D' 'H'],groupware user interfaces,model based design,groupware user interfaces model based design
1275,Collaborative Explicit Plasticity Framework: a Conceptual Scheme for the Generation of Plastic and Group-Aware User Interfaces,"plasticity,awareness,shared-knowledge,model-based approach,groupware",['D' 'H'],collaborative explicit plasticity framework,model-based approach,collaborative explicit plasticity framework model-based approach
1276,"Defining Tasks, Domains and Conversational Acts in CSCW Systems: the SPACE-DESIGN Case Study","CSCW,groupware,model-driven development",['D' 'H'],space-design case study,model-driven development,space-design case study model-driven development
1277,Capturing Interaction Requirements in a Model Transformation Technology Based on MDA,"model transformation,automatic code generation,sketches,interaction requirements,usability,Model Compiler,automatic code",['H' 'I'],model transformation technology based,automatic code generation,model transformation technology based automatic code generation
1278,Testing Website Usability in Spanish-Speaking Academia through Heuristic Evaluation and Cognitive Walkthroughs,"usability evaluation,UsabAIPO heuristic method,cognitive walkthrough,UsabAIPO metrics,Spanish-speaking context of use",['H'],testing website usability,usabaipo heuristic method,testing website usability usabaipo heuristic method
1279,Easing the Smart Home: Semi-automatic Adaptation in Perceptive Environments,"ubiquitous computing,ambient intelligence,smart home,automatic adaptation,natural programming",['C' 'H' 'I'],smart home,ubiquitous computing,smart home ubiquitous computing
1280,Development of Ambient Intelligence Systems Based on Collaborative Task Models,"collaborative model,ambient intelligence,ubiquitous computing,task modeling,Context awareness",['D' 'H'],ambient intelligence systems based,collaborative model,ambient intelligence systems based collaborative model
1281,WebA: A Tool for the Assistance in Design and Evaluation of Websites,"usability engineering,accessibility of websites,website usability evaluation,human computer interaction",['H'],weba,human computer interaction,weba human computer interaction
1284,Feature Selection for the Classification of Large Document Collections,"feature selection,text classification,machine learning,support vector machines,information retrieval,knowledge representation,data preprocessing",['H' 'I' 'M'],large document collections,support vector machines,large document collections support vector machines
1285,Guaranteeing Seamless Mobility with User Redials and Automatic Handover Retrials,"seamless mobility,Markovian model,finite truncated model,reattempt",['C'],guaranteeing seamless mobility,finite truncated model,guaranteeing seamless mobility finite truncated model
1286,Enhancements of Meeting Information Management and Application for Knowledge Access and Learning Activities,"meeting information system,electron meeting system,multimodal information extraction,meeting information retrieval and visualization",['H'],meeting information management,meeting information system,meeting information management meeting information system
1288,An IP Core and GUI for Implementing Multilayer Perceptron with a Fuzzy Activation Function on Configurable Logic Devices,"neural networks,multilayer perceptron,fuzzy logic,VHDL,FPGA,programmable logic,configurable hardware,IP core",['B' 'C' 'I'],implementing multilayer perceptron,neural networks,implementing multilayer perceptron neural networks
1289,Applications of Mash-ups for a Digital Journal,"mash-up,annotations,Web 2.0,metadata,decision making,scholarly network",['H'],digital journal,decision making,digital journal decision making
1290,Exposure and Support of Latent Social Networks among Learning Object Repository Users,"metadata,community building,sharing and reuse,structural computing,learning object,repository",['H'],learning object repository users,community building,learning object repository users community building
1291,Searching ... in a Web,"search engines,web search,PageRank,search bias,privacy,personalization,information ethics",['H' 'K'],searching,search engines,searching search engines
1292,Using Taxonomies to Support the Macro Design Process for the Production of Web Based Trainings,"E-learning,production of web based training,taxonomies,collaborative authoring,knowledge modelling,semantic design,instructional design support tool",['H' 'I' 'K' 'M'],macro design process,instructional design support tool,macro design process instructional design support tool
1293,The Need for Formalizing Media Semantics in the Games and Entertainment Industry,"multimedia semantics,digital entertainment,ontologies,semantic search",['H'],formalizing media semantics,multimedia semantics,formalizing media semantics multimedia semantics
1294,"Imagesemantics: User-Generated Metadata, Content Based Retrieval Beyond","Web 2.0,social media platform,user-generated content,MPEG-7",['H'],content based retrieval,social media platform,content based retrieval social media platform
1296,Information Integration for the Masses,"information extraction,web applications,assistants",['D' 'H'],information integration,information extraction,information integration information extraction
1297,A Workflow Language for Web Automation,"web wrappers,data mining,web automation,web information systems",['D' 'H'],workflow language,web information systems,workflow language web information systems
1298,Structure-Based Crawling in the Hidden Web,"Web crawling,hidden web,tree-edit distance,web wrappers",['H'],structure-based crawling,web crawling,structure-based crawling web crawling
1299,Structure and Semantics of Data-IntensiveWeb Pages: An Experimental Study on their Relationships,"clustering,web page classification,data extraction",['H' 'I'],data-intensiveweb pages,web page classification,data-intensiveweb pages web page classification
1300,Exploring Information Extraction Resilience,"information extraction,semi-structured data,ontologies",['H'],exploring information extraction resilience,information extraction,exploring information extraction resilience information extraction
1301,Recognising Informative Web Page Blocks Using Visual Segmentation for Efficient Information Extraction,"information extraction,informative block,visual block",['H'],recognising informative web page blocks,information extraction,recognising informative web page blocks information extraction
1303,Modularizing Theorems for Software Product Lines: The Jbook Case Study,"ASM,features,composition,verification,AHEAD",['D'],software product lines,asm,software product lines asm
1304,A Metamodel-based Language and a Simulation Engine for Abstract State Machines,"Abstract State Machines,ASM language,ASM simulator,model-driven engineering,metamodelling",['B' 'D' 'F'],abstract state machines,abstract state machines,abstract state machines abstract state machines
1305,The Timed Abstract State Machine Language: Abstract State Machines for Real-Time System Engineering,"real-time systems,embedded systems,specification,verification,formal methods,Abstract State Machines",['D' 'I'],timed abstract state machine language,abstract state machines,timed abstract state machine language abstract state machines
1306,Simulation of Timed Abstract State Machines with Predicate Logic Model-Checking,"abstract state machine,real-time,simulation,predicate timed logic,model-checking",['D'],timed abstract state machines,abstract state machine,timed abstract state machines abstract state machine
1307,ASM Refinement Preserving Invariants,"refinement,forward simulation,data refinement,commuting diagrams,Abstract State Machines,Mondex,electronic purses,security,dynamic logic,weakest preconditions,interactive theorem proving",['D' 'F'],asm refinement preserving invariants,abstract state machines,asm refinement preserving invariants abstract state machines
1308,ASMs in Service Oriented Architectures,"process mediation,service discovery,workflow composition",['D' 'H' 'I'],service oriented architectures,process mediation,service oriented architectures process mediation
1309,What is Correctness of Security Protocols?,"protocol goal,threat model,protocol verification,inductive method",['D' 'F'],security protocols,protocol goal,security protocols protocol goal
1312,A Survey of Practical Software Adaptation Techniques,"adaptation,coupling,reuse,communication,coordination,software composition,modularity,software architecture,software measurement",['D'],practical software adaptation techniques,software composition,practical software adaptation techniques software composition
1313,An Adaptation Logic Framework for Java-based Component Systems,"software adaptation,software component,logic programming",['D'],adaptation logic framework,software adaptation,adaptation logic framework software adaptation
1314,Composition and Run-time Adaptation of Mismatching Behavioural Interfaces,"components,behavioural interfaces,transition systems,mismatch,composition,run-time adaptation,validation,aspect-oriented programming",['D'],mismatching behavioural interfaces,behavioural interfaces,mismatching behavioural interfaces behavioural interfaces
1315,A Safe Dynamic Adaptation Framework for Aspect-Oriented Software Development,"aspect-oriented programming,software adaptation,UML,CCS,extended state machines,interaction pattern specification",['D' 'I'],safe dynamic adaptation framework,extended state machines,safe dynamic adaptation framework extended state machines
1316,Adapting Web 1.0 User Interfaces to Web 2.0 Multidevice User Interfaces using RUX-Method,"adaptation techniques,web engineering",['H'],0 multidevice user interfaces,adaptation techniques,0 multidevice user interfaces adaptation techniques
1318,Intelligence Metasynthesis and Knowledge Processing in Intelligent Systems,"knowledge processing,open complex intelligent systems,intelligence meta-synthesis,m-space,m-interaction",['I' 'M'],intelligence metasynthesis,open complex intelligent systems,intelligence metasynthesis open complex intelligent systems
1319,The APS Framework For Incremental Learning of Software Agents,"statistical learning,incremental methods,software agents,web browsing assistant",['I' 'M'],aps framework,web browsing assistant,aps framework web browsing assistant
1320,Market Microstructure Patterns Powering Trading and Surveillance Agents,"market microstructure pattern,data mining,agents,market surveillance",['H' 'I' 'M'],market microstructure patterns powering trading,market microstructure pattern,market microstructure patterns powering trading market microstructure pattern
1321,Non-repudiation Mechanism of Agent-based Mobile Payment Systems: Perspectives on Wireless PKI,"non-repudiation,mobile agent,WPKI,trusted third party,security",['D' 'E' 'K'],agent-based mobile payment systems,mobile agent,agent-based mobile payment systems mobile agent
1322,An Optimization of CDN Using Efficient Load Distribution and RADS Caching Algorithm,"load balancing,caching algorithm,divided cache scope,content delivery network",['C' 'H'],efficient load distribution,divided cache scope,efficient load distribution divided cache scope
1323,Intelligent Resource Exchanges: Solutions and Pathways in a Workforce Allocation Problem,"multi-agent planning,e-business agents,case studies and reports on deployments",['D'],intelligent resource exchanges,multi-agent planning,intelligent resource exchanges multi-agent planning
1324,Anti-Crisis Management of City Traffic Using Agent-Based Approach,"multi-agent systems,city traffic modelling,traffic ligh optimization",['I'],anti-crisis management,city traffic modelling,anti-crisis management city traffic modelling
1325,Implementation of a Prototype Positioning System for LBS on U-campus,"ubiquitous-campus,LBS,positioning,fingerprinting method,decision tree",['H' 'I'],prototype positioning system,fingerprinting method,prototype positioning system fingerprinting method
1326,An Application of Meta Search Agent System Based on Semantized Tags for Enhanced Web Searching,"ontology,semantiization,information searching,meta searching",['H' 'I'],meta search agent system based,information searching,meta search agent system based information searching
1327,Tabu Search on GPU,"graphics hardware,tabu search,traveling salesman,flow shop",['I'],tabu search,graphics hardware,tabu search graphics hardware
1328,A Novel Multi-Layer Level Set Method for Image Segmentation,"curve evolution,image layer,level set,multi-layer,segmentation,termination criterion",['G' 'I'],multi-layer level set method,curve evolution,multi-layer level set method curve evolution
1329,Automatic Construction of Fuzzy Rule Bases: a further Investigation into two Alternative Inductive Approaches,"machine learning,fuzzy logics,Bayesian networks,Bayesian classification,genetic fuzzy systems",['I'],fuzzy rule bases,genetic fuzzy systems,fuzzy rule bases genetic fuzzy systems
1330,A Hybrid Transgenetic Algorithm for the Prize Collecting Steiner Tree Problem,"Prize Collecting Steiner Tree Problem,transgenetic algorithm,evolutionary algorithm,path-relinking",['G' 'I'],prize collecting steiner tree problem,prize collecting steiner tree problem,prize collecting steiner tree problem prize collecting steiner tree problem
1331,Bus Network Optimization with a Time-Dependent Hybrid Algorithm,"hybrid genetic algorithms,Bus Network Scheduling Problem,optimization",['I'],bus network optimization,bus network scheduling problem,bus network optimization bus network scheduling problem
1332,Quantum-Inspired Evolutionary State Assignment for Synchronous Finite State Machines,"Quantum computation,finite state machine,state assignment problem",['B' 'I'],quantum-inspired evolutionary state assignment,finite state machine,quantum-inspired evolutionary state assignment finite state machine
1333,Optimal Sensor Network Layout Using Multi-Objective Metaheuristics,"sensor networks,multiobjective optimization,metaheuristics",['G' 'I'],optimal sensor network layout,sensor networks,optimal sensor network layout sensor networks
1334,GADYM - A Novel Genetic Algorithm in Mechanical Design Problems,"genetic algorithm,optimization,search",['F' 'G' 'I'],mechanical design problems,genetic algorithm,mechanical design problems genetic algorithm
