ID,Title,Keywords,FirstLevel,titleCleanedLem,keywordCleanedLem,titleCleanedStem,keywordCleanedStem,titleRelevantLem,keywordRelevantLem
1242,A Knowledge Discovery Agent for a Topology Bit-map in Ad Hoc Mobile Networks,"knowledge discovery agent,ad hoc networks,AODV,table-driven routing,bit-map table,reducing overhead",['C'],ad hoc agent network discovery bit-map knowledge mobile topology,ad table routing hoc reducing agent table-driven aodv network discovery knowledge bit-map overhead,ad knowledg hoc topolog agent network bit-map discoveri mobil,ad knowledg hoc agent table-driven aodv network bit-map rout discoveri overhead reduc tabl,ad hoc agent network discovery knowledge mobile topology,ad table routing hoc reducing agent aodv network discovery knowledge overhead
1243,Structural Performance Evaluation of Multi-Agent Systems,"metric,multi-agent system,performance evaluation",['C' 'H'],performance system evaluation structural multi-agent,metric performance system evaluation multi-agent,evalu system perform structur multi-ag,metric evalu system perform multi-ag,performance system evaluation structural,metric performance system evaluation
1244,Query Transformation Based on Semantic Centrality in Semantic Social Network1,"semantic social network,ontology alignment,query propagation",['H' 'I'],based social transformation query network1 centrality semantic,propagation social network query ontology alignment semantic,transform social queri central network1 semant base,align social queri network semant propag ontolog,based social transformation query network1 centrality semantic,propagation social network query ontology alignment semantic
1245,Schema Mappings and Agents' Actions in P2P Data Integration System,"agent system,data integration,Prolog-like computations",['H' 'I'],system mapping agent integration action schema p2p data,system agent integration computation data prolog-like,system agent map action integr schema p2p data,system agent integr data prolog-lik comput,system mapping agent integration action schema p2p data,system agent integration computation data
1247,Reinforcement Learning on a Futures Market Simulator,"reinforcement learning,market simulation",['I'],market reinforcement future learning simulator,reinforcement learning simulation market,market learn futur simul reinforc,market reinforc learn simul,market reinforcement future learning simulator,reinforcement learning simulation market
1248,Model Interpreter Frameworks:A Foundation for the Analysis of Domain-Specific Software Architectures,"software architecture,model-driven engineering,component-based systems",['D'],analysis framework software domain-specific interpreter foundation architecture model,system model-driven engineering software architecture component-based,analysi domain-specif architectur foundat framework interpret softwar model,architectur engin system model-driven softwar component-bas,analysis framework software interpreter foundation architecture model,system engineering software architecture
1249,Embedded Software Revitalization through Component Mining and Software Product Line Techniques,"maintenance,reuse,component mining,gateway,feature model,software product line,hardware decomposition,embedded system",['D'],embedded product mining line software revitalization component technique,maintenance reuse gateway system embedded decomposition product mining line software component hardware feature model,mine compon embed product line techniqu softwar revit,featur gateway mine system compon embed product line decomposit hardwar softwar mainten reus model,embedded product mining line software revitalization component technique,maintenance reuse gateway system embedded decomposition product mining line software component hardware feature model
1250,Experimenting the Automated Selection of COTS Components Based on Cost and System Requirements,"COTS selection,optimization model,software requirements",['D'],based experimenting system requirement automated cost selection component cot,requirement optimization software selection cot model,requir compon system experi select cost autom cot base,requir optim select softwar cot model,based experimenting system requirement automated cost selection component,requirement optimization software selection cot model
1251,LIFT - A Legacy InFormation Retrieval Tool,"reverse engineering,knowledge reuse,system understanding,legacy systems",['D' 'K'],legacy tool lift information retrieval,reuse system knowledge engineering understanding legacy reverse,retriev tool legaci inform lift,understand knowledg engin system revers legaci reus,legacy tool lift information retrieval,reuse system knowledge engineering understanding legacy reverse
1252,Mismatch Avoidance in Web Services Software Architectures,"software architecture,architectural style,architectural mismatch,acme,web services",['D'],mismatch web software avoidance architecture service,mismatch web architectural style software acme architecture service,architectur servic mismatch web avoid softwar,acm architectur servic mismatch web style softwar,mismatch web software avoidance architecture service,mismatch web architectural style software acme architecture service
1253,CrossMDA: a Model-driven Approach for Aspect Management,"model driven architecture,aspect oriented software development,crosscutting concerns,MDA transformations",['D' 'H'],crossmda management model-driven aspect approach,driven oriented transformation aspect concern software development architecture crosscutting mda model,crossmda manag model-driven aspect approach,architectur transform driven crosscut develop aspect concern softwar orient mda model,crossmda management aspect approach,driven oriented transformation aspect concern software development architecture crosscutting mda model
1254,A Product Derivation Tool Based on Model-Driven Techniques and Annotations,"software product lines,product derivation tools,generative programming,model-driven development",['D'],derivation based annotation product model-driven tool technique,programming derivation product model-driven line software development tool generative,annot product model-driven techniqu tool deriv base,gener develop product model-driven line tool softwar deriv program,derivation based annotation product tool technique,programming derivation product line software development tool generative
1255,A Service-oriented Process to Develop Web Applications,"Web applications,Web-based services,product line,business process",['D'],develop service-oriented web application process,business product web line web-based application service process,service-ori develop web applic process,servic web product web-bas line applic busi process,develop web application process,business product web line application service process
1263,On Complements of Sets and the Efremovi&#269; Condition in Pre-apartness Spaces,"Pre-apartness spaces,Efremovi&#269; property",['F'],set condition space efremovi pre-apartness complement,efremovi property pre-apartness space,set pre-apart space efremovi condit complement,properti efremovi pre-apart space,set condition space efremovi complement,efremovi property space
1265,Binary Methods Programming: the Clos Perspective,"binary methods,Common Lisp,object orientation,meta-programming",['D'],programming method binary clos perspective,method lisp binary object common meta-programming orientation,program perspect method binari clo,method lisp object common orient binari meta-program,programming method binary clos perspective,method lisp binary object common orientation
1266,Custom Specializers in Object-Oriented Lisp,"Specializer,generic function,Metaobject Protocol,Lisp",['D'],specializer object-oriented lisp custom,metaobject protocol lisp specializer function generic,special lisp object-ori custom,metaobject protocol gener lisp special function,specializer lisp custom,metaobject protocol lisp specializer function generic
1267,An Implementation of CLIM Presentation Types,"Common Lisp,CLIM,presentation types,metaobject protocol",['D'],clim presentation type implementation,metaobject protocol type presentation lisp common clim,clim implement type present,metaobject protocol type lisp common clim present,clim presentation type implementation,metaobject protocol type presentation lisp common clim
1268,Context-Oriented Programming with the Ambient Object System,"context-oriented programming,subjective dispatch,multiple dispatch,prototype-based programming,ambient intelligence",['D'],programming system ambient object context-oriented,programming ambient subjective multiple context-oriented intelligence dispatch prototype-based,context-ori system ambient object program,context-ori dispatch prototype-bas ambient subject multipl intellig program,programming system ambient object,programming ambient subjective multiple intelligence dispatch
1269,UCL-GLORP - An ORM for Common Lisp,"object-relational mapping,Common Lisp,Smalltalk",['D' 'H'],ucl-glorp common orm lisp,mapping lisp common smalltalk object-relational,ucl-glorp common orm lisp,lisp map common object-rel smalltalk,common orm lisp,mapping lisp common smalltalk
1270,A Tool for Reasoning about Qualitative Temporal Information: the Theory of S-languages with a Lisp Implementation,"temporal reasoning,relation algebras,S-languages,Lisp",['F' 'I'],temporal reasoning lisp tool theory implementation s-languages information qualitative,temporal relation reasoning lisp s-languages algebra,theori reason implement tempor lisp tool qualit s-languag inform,reason tempor lisp relat s-languag algebra,temporal reasoning lisp tool theory implementation information qualitative,temporal relation reasoning lisp algebra
1272,NASDAQ Velocity and Forces: An Interactive Visualization of Activity and Change,"stock market visualization,stock market data analysis,NASDAQ velocity and forces,graphical user interface,information visualization",['J'],activity visualization nasdaq force velocity interactive change,graphical visualization user market analysis stock nasdaq force velocity data interface information,visual interact nasdaq veloc activ forc chang,analysi visual user market stock graphic nasdaq veloc forc interfac data inform,activity visualization nasdaq force velocity interactive change,graphical visualization user market analysis stock nasdaq force velocity data interface information
1273,Supporting Informal Collaboration in Shared-Workspace Groupware,"awareness,community-based groupware,real-time interaction,groupware",['H'],supporting groupware collaboration informal shared-workspace,real-time groupware interaction awareness community-based,groupwar collabor support shared-workspac inform,interact groupwar awar real-tim community-bas,supporting groupware collaboration informal,groupware interaction awareness
1274,CIAM: A Methodology for the Development of Groupware User Interfaces,"groupware design,interaction design,model based design",['D' 'H'],user ciam groupware methodology development interface,based groupware design interaction model,groupwar user ciam develop methodolog interfac,interact groupwar design base model,user ciam groupware methodology development interface,based groupware design interaction model
1275,Collaborative Explicit Plasticity Framework: a Conceptual Scheme for the Generation of Plastic and Group-Aware User Interfaces,"plasticity,awareness,shared-knowledge,model-based approach,groupware",['D' 'H'],generation user collaborative plastic scheme group-aware framework explicit conceptual plasticity interface,groupware shared-knowledge approach model-based plasticity awareness,conceptu user group-awar gener collabor scheme plastic framework explicit interfac,groupwar model-bas plastic awar approach shared-knowledg,generation user collaborative plastic scheme framework explicit conceptual interface,groupware approach plasticity awareness
1276,"Defining Tasks, Domains and Conversational Acts in CSCW Systems: the SPACE-DESIGN Case Study","CSCW,groupware,model-driven development",['D' 'H'],domain task conversational system space-design defining act case study cscw,cscw development model-driven groupware,domain defin task studi system space-design convers act case cscw,develop groupwar model-driven cscw,domain task conversational system defining act case study cscw,cscw development groupware
1277,Capturing Interaction Requirements in a Model Transformation Technology Based on MDA,"model transformation,automatic code generation,sketches,interaction requirements,usability,Model Compiler,automatic code",['H' 'I'],based interaction transformation capturing requirement technology mda model,generation code interaction transformation requirement usability automatic compiler sketch model,requir interact transform technolog base mda captur model,automat requir interact transform usabl gener code compil sketch model,based interaction transformation capturing requirement technology mda model,generation code interaction transformation requirement usability automatic compiler sketch model
1278,Testing Website Usability in Spanish-Speaking Academia through Heuristic Evaluation and Cognitive Walkthroughs,"usability evaluation,UsabAIPO heuristic method,cognitive walkthrough,UsabAIPO metrics,Spanish-speaking context of use",['H'],cognitive website testing heuristic usability evaluation walkthroughs academia spanish-speaking,cognitive metric heuristic context method usability evaluation walkthrough usabaipo use spanish-speaking,evalu cognit walkthrough test academia spanish-speak heurist websit usabl,metric evalu cognit context method walkthrough usabaipo spanish-speak heurist use usabl,cognitive website testing heuristic usability evaluation walkthroughs academia,cognitive metric heuristic context method usability evaluation walkthrough usabaipo use
1279,Easing the Smart Home: Semi-automatic Adaptation in Perceptive Environments,"ubiquitous computing,ambient intelligence,smart home,automatic adaptation,natural programming",['C' 'H' 'I'],semi-automatic environment adaptation smart home perceptive easing,programming computing ambient adaptation smart home ubiquitous automatic intelligence natural,environ eas semi-automat smart home adapt percept,automat program ambient smart adapt home natur intellig ubiquit comput,environment adaptation smart home perceptive easing,programming computing ambient adaptation smart home ubiquitous automatic intelligence natural
1280,Development of Ambient Intelligence Systems Based on Collaborative Task Models,"collaborative model,ambient intelligence,ubiquitous computing,task modeling,Context awareness",['D' 'H'],task based collaborative system ambient development intelligence model,task collaborative computing ambient context ubiquitous intelligence modeling awareness model,task system develop collabor ambient intellig base model,task model collabor ambient context awar intellig ubiquit comput,task based collaborative system ambient development intelligence model,task collaborative computing ambient context ubiquitous intelligence modeling awareness model
1281,WebA: A Tool for the Assistance in Design and Evaluation of Websites,"usability engineering,accessibility of websites,website usability evaluation,human computer interaction",['H'],website assistance design evaluation tool weba,human website interaction usability evaluation computer engineering accessibility,evalu assist design tool websit weba,human interact evalu engin access websit usabl comput,website assistance design evaluation tool weba,human website interaction usability evaluation computer engineering accessibility
1284,Feature Selection for the Classification of Large Document Collections,"feature selection,text classification,machine learning,support vector machines,information retrieval,knowledge representation,data preprocessing",['H' 'I' 'M'],large collection document classification selection feature,classification learning knowledge support text selection representation preprocessing data machine feature vector information retrieval,larg featur document select classif collect,knowledg featur select represent retriev learn support classif text preprocess machin data vector inform,large collection document classification selection feature,classification learning knowledge support text selection representation preprocessing data machine feature vector information retrieval
1285,Guaranteeing Seamless Mobility with User Redials and Automatic Handover Retrials,"seamless mobility,Markovian model,finite truncated model,reattempt",['C'],mobility handover retrial user seamless automatic redials guaranteeing,reattempt mobility markovian seamless truncated finite model,handov automat retrial user guarante seamless redial mobil,reattempt truncat markovian seamless finit mobil model,mobility handover retrial user seamless automatic redials guaranteeing,reattempt mobility markovian seamless truncated finite model
1286,Enhancements of Meeting Information Management and Application for Knowledge Access and Learning Activities,"meeting information system,electron meeting system,multimodal information extraction,meeting information retrieval and visualization",['H'],activity management meeting learning knowledge enhancement application information access,visualization system electron meeting multimodal extraction information retrieval,manag knowledg meet learn activ enhanc applic inform access,visual system meet extract retriev multimod inform electron,activity management meeting learning knowledge enhancement application information access,visualization system electron meeting multimodal extraction information retrieval
1288,An IP Core and GUI for Implementing Multilayer Perceptron with a Fuzzy Activation Function on Configurable Logic Devices,"neural networks,multilayer perceptron,fuzzy logic,VHDL,FPGA,programmable logic,configurable hardware,IP core",['B' 'C' 'I'],multilayer implementing core device perceptron function gui ip fuzzy configurable activation logic,multilayer neural network core perceptron programmable fpga fuzzy ip configurable hardware vhdl logic,implement core perceptron configur fuzzi devic function gui ip activ multilay logic,programm neural network core perceptron configur fuzzi fpga ip vhdl multilay hardwar logic,multilayer implementing core device perceptron function gui ip fuzzy configurable activation logic,multilayer neural network core perceptron programmable fpga fuzzy ip configurable hardware vhdl logic
1289,Applications of Mash-ups for a Digital Journal,"mash-up,annotations,Web 2.0,metadata,decision making,scholarly network",['H'],mash-ups digital journal application,mash-up metadata decision making annotation network web scholarly,mash-up applic journal digit,mash-up metadata annot decis scholarli network web make,digital journal application,metadata decision making annotation network web scholarly
1290,Exposure and Support of Latent Social Networks among Learning Object Repository Users,"metadata,community building,sharing and reuse,structural computing,learning object,repository",['H'],repository user social among network learning latent object support exposure,repository reuse metadata community sharing building computing learning object structural,exposur user social among network learn latent object support repositori,metadata repositori share learn object build reus commun structur comput,repository user social among network learning latent object support exposure,repository reuse metadata community sharing building computing learning object structural
1291,Searching ... in a Web,"search engines,web search,PageRank,search bias,privacy,personalization,information ethics",['H' 'K'],searching web,privacy engine web search pagerank ethic bias information personalization,web search,ethic engin web search person pagerank privaci bia inform,searching web,privacy engine web search pagerank ethic bias information personalization
1292,Using Taxonomies to Support the Macro Design Process for the Production of Web Based Trainings,"E-learning,production of web based training,taxonomies,collaborative authoring,knowledge modelling,semantic design,instructional design support tool",['H' 'I' 'K' 'M'],based design production web training support macro using taxonomy process,based collaborative design production web training knowledge modelling support e-learning instructional tool taxonomy authoring semantic,taxonomi design product web train support macro use base process,taxonomi knowledg design collabor product web train support author semant tool base instruct e-learn model,based design production web training support macro using taxonomy process,based collaborative design production web training knowledge modelling support instructional tool taxonomy authoring semantic
1293,The Need for Formalizing Media Semantics in the Games and Entertainment Industry,"multimedia semantics,digital entertainment,ontologies,semantic search",['H'],need industry entertainment semantics formalizing medium game,multimedia entertainment semantics search digital ontology semantic,need formal entertain game semant media industri,digit multimedia entertain search semant ontolog,need industry entertainment semantics formalizing medium game,multimedia entertainment semantics search digital ontology semantic
1294,"Imagesemantics: User-Generated Metadata, Content Based Retrieval Beyond","Web 2.0,social media platform,user-generated content,MPEG-7",['H'],based metadata content user-generated imagesemantics beyond retrieval,social content web medium platform user-generated mpeg,metadata content imagesemant user-gener beyond retriev base,social content web user-gener platform media mpeg,based metadata content imagesemantics beyond retrieval,social content web medium platform mpeg
1296,Information Integration for the Masses,"information extraction,web applications,assistants",['D' 'H'],integration information mass,web extraction assistant application information,mass inform integr,assist web extract applic inform,integration information mass,web extraction assistant application information
1297,A Workflow Language for Web Automation,"web wrappers,data mining,web automation,web information systems",['D' 'H'],language web automation workflow,wrapper automation system web mining data information,web languag autom workflow,wrapper mine system web autom data inform,language web automation workflow,wrapper automation system web mining data information
1298,Structure-Based Crawling in the Hidden Web,"Web crawling,hidden web,tree-edit distance,web wrappers",['H'],web hidden structure-based crawling,wrapper distance tree-edit web crawling hidden,structure-bas web hidden crawl,wrapper tree-edit web crawl distanc hidden,web hidden crawling,wrapper distance web crawling hidden
1299,Structure and Semantics of Data-IntensiveWeb Pages: An Experimental Study on their Relationships,"clustering,web page classification,data extraction",['H' 'I'],semantics page data-intensiveweb experimental study structure relationship,classification web page clustering extraction data,experiment studi page semant data-intensiveweb relationship structur,web extract page classif cluster data,semantics page experimental study structure relationship,classification web page clustering extraction data
1300,Exploring Information Extraction Resilience,"information extraction,semi-structured data,ontologies",['H'],information resilience extraction exploring,ontology extraction data semi-structured information,resili inform extract explor,extract ontolog data inform semi-structur,information resilience extraction exploring,ontology extraction data information
1301,Recognising Informative Web Page Blocks Using Visual Segmentation for Efficient Information Extraction,"information extraction,informative block,visual block",['H'],visual efficient informative page web segmentation recognising using block extraction information,visual informative extraction block information,visual segment web page extract recognis block use inform effici,visual inform extract block,visual efficient informative page web segmentation recognising using block extraction information,visual informative extraction block information
1303,Modularizing Theorems for Software Product Lines: The Jbook Case Study,"ASM,features,composition,verification,AHEAD",['D'],product modularizing line software case jbook study theorem,ahead composition verification asm feature,studi modular product line case jbook softwar theorem,ahead featur composit verif asm,product modularizing line software case jbook study theorem,ahead composition verification asm feature
1304,A Metamodel-based Language and a Simulation Engine for Abstract State Machines,"Abstract State Machines,ASM language,ASM simulator,model-driven engineering,metamodelling",['B' 'D' 'F'],engine simulation metamodel-based state language machine abstract,model-driven metamodelling engineering simulator asm state language machine abstract,engin languag state simul metamodel-bas abstract machin,metamodel engin languag model-driven asm state simul abstract machin,engine simulation state language machine abstract,metamodelling engineering simulator asm state language machine abstract
1305,The Timed Abstract State Machine Language: Abstract State Machines for Real-Time System Engineering,"real-time systems,embedded systems,specification,verification,formal methods,Abstract State Machines",['D' 'I'],system timed engineering state language machine real-time abstract,formal system embedded method specification verification state machine real-time abstract,engin system languag time state machin real-tim abstract,formal system embed method verif real-tim state machin specif abstract,system timed engineering state language machine abstract,formal system embedded method specification verification state machine abstract
1306,Simulation of Timed Abstract State Machines with Predicate Logic Model-Checking,"abstract state machine,real-time,simulation,predicate timed logic,model-checking",['D'],model-checking simulation timed predicate state machine abstract logic,model-checking simulation timed predicate state machine real-time abstract logic,logic model-check predic time state simul abstract machin,logic model-check predic time state simul real-tim abstract machin,simulation timed predicate state machine abstract logic,simulation timed predicate state machine abstract logic
1307,ASM Refinement Preserving Invariants,"refinement,forward simulation,data refinement,commuting diagrams,Abstract State Machines,Mondex,electronic purses,security,dynamic logic,weakest preconditions,interactive theorem proving",['D' 'F'],invariant refinement asm preserving,precondition proving diagram dynamic purse logic theorem refinement security commuting state data machine weakest electronic interactive mondex abstract simulation forward,invari refin asm preserv,diagram dynam logic electron theorem commut state simul data refin interact precondit prove weakest purs mondex abstract machin secur forward,invariant refinement asm preserving,precondition proving diagram dynamic purse logic theorem refinement security commuting state data machine weakest electronic interactive mondex abstract simulation forward
1308,ASMs in Service Oriented Architectures,"process mediation,service discovery,workflow composition",['D' 'H' 'I'],asms oriented service architecture,discovery mediation composition service process workflow,architectur asm servic orient,servic composit mediat discoveri process workflow,asms oriented service architecture,discovery mediation composition service process workflow
1309,What is Correctness of Security Protocols?,"protocol goal,threat model,protocol verification,inductive method",['D' 'F'],correctness security protocol,protocol inductive goal method verification threat model,secur protocol correct,protocol induct goal method verif threat model,correctness security protocol,protocol inductive goal method verification threat model
1312,A Survey of Practical Software Adaptation Techniques,"adaptation,coupling,reuse,communication,coordination,software composition,modularity,software architecture,software measurement",['D'],adaptation practical software survey technique,communication reuse coordination adaptation composition modularity measurement software coupling architecture,practic adapt techniqu survey softwar,architectur composit modular measur adapt coordin coupl softwar reus commun,adaptation practical software survey technique,communication reuse coordination adaptation composition modularity measurement software coupling architecture
1313,An Adaptation Logic Framework for Java-based Component Systems,"software adaptation,software component,logic programming",['D'],system adaptation java-based framework component logic,programming adaptation software component logic,compon system framework adapt java-bas logic,compon program adapt softwar logic,system adaptation framework component logic,programming adaptation software component logic
1314,Composition and Run-time Adaptation of Mismatching Behavioural Interfaces,"components,behavioural interfaces,transition systems,mismatch,composition,run-time adaptation,validation,aspect-oriented programming",['D'],behavioural run-time mismatching adaptation composition interface,behavioural programming run-time validation system mismatch aspect-oriented adaptation composition component interface transition,mismatch composit adapt behaviour interfac run-tim,compon system mismatch composit behaviour valid adapt transit aspect-ori interfac run-tim program,behavioural mismatching adaptation composition interface,behavioural programming validation system mismatch adaptation composition component interface transition
1315,A Safe Dynamic Adaptation Framework for Aspect-Oriented Software Development,"aspect-oriented programming,software adaptation,UML,CCS,extended state machines,interaction pattern specification",['D' 'I'],safe aspect-oriented adaptation framework software dynamic development,programming aspect-oriented interaction adaptation specification cc pattern software state extended machine uml,safe develop dynam framework adapt softwar aspect-ori,interact pattern cc adapt extend aspect-ori machin softwar state specif uml program,safe adaptation framework software dynamic development,programming interaction adaptation specification cc pattern software state extended machine uml
1316,Adapting Web 1.0 User Interfaces to Web 2.0 Multidevice User Interfaces using RUX-Method,"adaptation techniques,web engineering",['H'],user rux-method web multidevice using interface adapting,engineering technique adaptation web,user rux-method web adapt multidevic interfac use,techniqu web engin adapt,user web multidevice using interface adapting,engineering technique adaptation web
1318,Intelligence Metasynthesis and Knowledge Processing in Intelligent Systems,"knowledge processing,open complex intelligent systems,intelligence meta-synthesis,m-space,m-interaction",['I' 'M'],system knowledge intelligence processing intelligent metasynthesis,complex system knowledge open meta-synthesis intelligence m-interaction processing m-space intelligent,knowledg system metasynthesi intellig process,m-interact knowledg complex system meta-synthesi open intellig m-space process,system knowledge intelligence processing intelligent metasynthesis,complex system knowledge open intelligence processing intelligent
1319,The APS Framework For Incremental Learning of Software Agents,"statistical learning,incremental methods,software agents,web browsing assistant",['I' 'M'],aps agent learning incremental framework software,agent learning incremental method web software browsing assistant statistical,agent learn framework increment softwar ap,brows assist agent method web learn increment softwar statist,aps agent learning incremental framework software,agent learning incremental method web software browsing assistant statistical
1320,Market Microstructure Patterns Powering Trading and Surveillance Agents,"market microstructure pattern,data mining,agents,market surveillance",['H' 'I' 'M'],market agent powering surveillance pattern microstructure trading,market agent mining surveillance data pattern microstructure,trade market agent power pattern microstructur surveil,mine market agent pattern microstructur data surveil,market agent powering surveillance pattern microstructure trading,market agent mining surveillance data pattern microstructure
1321,Non-repudiation Mechanism of Agent-based Mobile Payment Systems: Perspectives on Wireless PKI,"non-repudiation,mobile agent,WPKI,trusted third party,security",['D' 'E' 'K'],mobile system payment non-repudiation agent-based pki wireless mechanism perspective,party agent third security wpki trusted non-repudiation mobile,agent-bas system payment perspect wireless non-repudi mechan mobil pki,trust agent third wpki parti non-repudi secur mobil,mobile system payment pki wireless mechanism perspective,party agent third security wpki trusted mobile
1322,An Optimization of CDN Using Efficient Load Distribution and RADS Caching Algorithm,"load balancing,caching algorithm,divided cache scope,content delivery network",['C' 'H'],distribution algorithm load efficient optimization caching using rad cdn,algorithm load content cache network balancing caching divided delivery scope,optim algorithm cach load cdn rad use distribut effici,balanc deliveri algorithm cach load content network divid scope,distribution algorithm load efficient optimization caching using rad cdn,algorithm load content cache network balancing caching divided delivery scope
1323,Intelligent Resource Exchanges: Solutions and Pathways in a Workforce Allocation Problem,"multi-agent planning,e-business agents,case studies and reports on deployments",['D'],solution exchange allocation workforce pathway intelligent problem resource,agent e-business planning case study multi-agent report deployment,workforc exchang alloc resourc pathway solut intellig problem,e-busi studi agent case plan report deploy multi-ag,solution exchange allocation workforce pathway intelligent problem resource,agent planning case study report deployment
1324,Anti-Crisis Management of City Traffic Using Agent-Based Approach,"multi-agent systems,city traffic modelling,traffic ligh optimization",['I'],traffic management city agent-based anti-crisis using approach,traffic system modelling optimization city multi-agent ligh,traffic manag agent-bas approach use anti-crisi citi,traffic optim system citi ligh multi-ag model,traffic management city using approach,traffic system modelling optimization city ligh
1325,Implementation of a Prototype Positioning System for LBS on U-campus,"ubiquitous-campus,LBS,positioning,fingerprinting method,decision tree",['H' 'I'],lb system positioning prototype implementation u-campus,lb tree decision ubiquitous-campus positioning method fingerprinting,posit lb system implement u-campu prototyp,posit lb tree fingerprint decis method ubiquitous-campu,lb system positioning prototype implementation,lb tree decision positioning method fingerprinting
1326,An Application of Meta Search Agent System Based on Semantized Tags for Enhanced Web Searching,"ontology,semantiization,information searching,meta searching",['H' 'I'],based system agent enhanced semantized search web application searching tag meta,semantiization ontology searching information meta,system agent web search semant enhanc applic base tag meta,search semanti ontolog inform meta,based system agent enhanced semantized search web application searching tag meta,semantiization ontology searching information meta
1327,Tabu Search on GPU,"graphics hardware,tabu search,traveling salesman,flow shop",['I'],tabu search gpu,shop graphic flow search salesman tabu hardware traveling,tabu search gpu,shop graphic flow search salesman tabu travel hardwar,tabu search gpu,shop graphic flow search salesman tabu hardware traveling
1328,A Novel Multi-Layer Level Set Method for Image Segmentation,"curve evolution,image layer,level set,multi-layer,segmentation,termination criterion",['G' 'I'],novel set method image level segmentation multi-layer,layer curve set evolution image level termination segmentation criterion multi-layer,novel segment set multi-lay method level imag,segment layer evolut set multi-lay termin level imag curv criterion,novel set method image level segmentation,layer curve set evolution image level termination segmentation criterion
1329,Automatic Construction of Fuzzy Rule Bases: a further Investigation into two Alternative Inductive Approaches,"machine learning,fuzzy logics,Bayesian networks,Bayesian classification,genetic fuzzy systems",['I'],construction inductive alternative automatic fuzzy rule approach investigation base two,system classification genetic network learning bayesian fuzzy machine logic,automat induct investig altern fuzzi rule approach base two construct,system network learn fuzzi classif bayesian machin genet logic,construction inductive alternative automatic fuzzy rule approach investigation base two,system classification genetic network learning bayesian fuzzy machine logic
1330,A Hybrid Transgenetic Algorithm for the Prize Collecting Steiner Tree Problem,"Prize Collecting Steiner Tree Problem,transgenetic algorithm,evolutionary algorithm,path-relinking",['G' 'I'],steiner hybrid tree algorithm prize collecting transgenetic problem,steiner path-relinking tree algorithm prize collecting transgenetic evolutionary problem,steiner hybrid tree algorithm prize collect transgenet problem,steiner tree evolutionari algorithm path-relink prize collect transgenet problem,steiner hybrid tree algorithm prize collecting transgenetic problem,steiner tree algorithm prize collecting transgenetic evolutionary problem
1331,Bus Network Optimization with a Time-Dependent Hybrid Algorithm,"hybrid genetic algorithms,Bus Network Scheduling Problem,optimization",['I'],bus hybrid algorithm network time-dependent optimization,hybrid bus algorithm genetic network optimization scheduling problem,hybrid time-depend optim algorithm network bu,hybrid optim algorithm schedul problem network genet bu,bus hybrid algorithm network optimization,hybrid bus algorithm genetic network optimization scheduling problem
1332,Quantum-Inspired Evolutionary State Assignment for Synchronous Finite State Machines,"Quantum computation,finite state machine,state assignment problem",['B' 'I'],synchronous quantum-inspired state machine finite assignment evolutionary,quantum computation state machine finite assignment problem,evolutionari quantum-inspir finit synchron assign state machin,quantum finit assign state machin problem comput,synchronous state machine finite assignment evolutionary,quantum computation state machine finite assignment problem
1333,Optimal Sensor Network Layout Using Multi-Objective Metaheuristics,"sensor networks,multiobjective optimization,metaheuristics",['G' 'I'],multi-objective network sensor layout using optimal metaheuristics,network sensor optimization multiobjective metaheuristics,optim network sensor layout multi-object use metaheurist,optim multiobject network sensor metaheurist,network sensor layout using optimal metaheuristics,network sensor optimization multiobjective metaheuristics
1334,GADYM - A Novel Genetic Algorithm in Mechanical Design Problems,"genetic algorithm,optimization,search",['F' 'G' 'I'],novel algorithm gadym genetic design mechanical problem,genetic optimization search algorithm,novel algorithm gadym design problem mechan genet,algorithm optim search genet,novel algorithm gadym genetic design mechanical problem,genetic optimization search algorithm
1335,Two Step Swarm Intelligence to Solve the Feature Selection Problem,"Feature Selection Problem,Swarm Intelligence,Ant Colony Optimization,Particle Swarm Optimization,Rough Set Theory,Two-Step Swarm Intelligence",['I'],solve step selection intelligence two feature swarm problem,set rough particle two-step optimization ant selection intelligence colony theory feature swarm problem,featur select problem step two swarm intellig solv,featur theori optim set rough select two-step ant coloni swarm intellig particl problem,solve step selection intelligence two feature swarm problem,set rough particle optimization ant selection intelligence colony theory feature swarm problem
1336,Parallel Strategies for Stochastic Evolution,"parallel metaheuristics,combinatorial optimization,stochastic evolution,simulated evolution,VLSI cell placement,cluster computing",['F' 'I'],stochastic evolution strategy parallel,simulated combinatorial evolution parallel stochastic computing optimization cell cluster vlsi placement metaheuristics,stochast evolut strategi parallel,optim evolut parallel stochast cell combinatori cluster vlsi metaheurist placement simul comput,stochastic evolution strategy parallel,simulated combinatorial evolution parallel stochastic computing optimization cell cluster vlsi placement metaheuristics
1338,Learner Course Recommendation in e-Learning Based on Swarm Intelligence,"recommendation,E-learning,multi-agent system,emergence,Swarm Intelligence",['E' 'H' 'I' 'J'],based learner course intelligence e-learning recommendation swarm,system emergence e-learning intelligence multi-agent recommendation swarm,base recommend learner swarm intellig cours e-learn,system emerg recommend e-learn swarm intellig multi-ag,based learner course intelligence recommendation swarm,system emergence intelligence recommendation swarm
